326;NSR 150 SP;1
1KL;NVARIO 125 ESP CBS;1
0DQ;NVARIO TECH FI ADV;1
U61;PCX;1
0S1;PCX125;1
0S2;PCX150;1
327;PHANTOM;1
J34;REVO;1
J35;REVO CW;1
Y91;REVO FIT;1
[83;REVO TECHNO AT;1
U19;SCOOPY;1
1FA;SCOOPY ESP;1
0GG;SCOOPY FI CLASSIC;1
472;SONIC;1
1KF;SONIC 150 R;1
[72;SPACY GARNISH;1
Z71;SPACY HELM IN CW;1
]22;SPACY HELM IN PGMFI;1
Z70;SPACY HELM IN SPOKE;1
F45;SUPRA 125 SF;1
F46;SUPRA 125 SFC;1
F47;SUPRA 125 SFC;1
702;SUPRA FIT;1
C13;SUPRA FIT D;1
813;SUPRA FIT D NF 100 D;1
776;SUPRA FIT DB;1
D85;SUPRA FIT NEW CAKRAM;1
D84;SUPRA FIT NEW TROMOL;1
F78;SUPRA FIT NF 100 LD;1
822;SUPRA FIT X;1
1U2;SUPRA GTR 150 EXL;1
1U1;SUPRA GTR 150 SPORTY;1
G22;SUPRA NF 100;1
445;SUPRA S;1
473;SUPRA V;1
C80;SUPRA X 125 (NF125S);1
C91;SUPRA X 125 CC;1
E06;SUPRA X 125 CW;1
H64;SUPRA X 125 DD;1
F60;SUPRA X 125 INJEKSI;1
F62;SUPRA X 125 PGMFI;1
F61;SUPRA X 125 PGMFI CW;1
E52;SUPRA X 125 R;1
G16;SUPRA X 125 S DISC;1
D86;SUPRA X 125(NF125SC);1
C81;SUPRA X 125(NF125SD);1
C92;SUPRA X 125CC CAKRAM;1
F81;SUPRA X NF 100 D;1
475;SUPRA X NF125 SD;1
\36;SUPRA X125CW HELM IN;1
]24;SUPRA X125HELMIN INJ;1
021;TIGER;1
521;TIGER CAST WHEEL;1
C12;TIGER CW;1
932;TIGER GL 200;1
219;TIGER GL 200 SPORT;1
328;TIGER GLS 200;1
329;TIGER GLS 200-CW;1
J85;TRAIL XR 200;1
0HU;VARIO 125 CBS ISS;1
12I;VARIO 125 ESP CBS;1
1KM;VARIO 125 ESPCBS ISS;1
12G;VARIO 125ESP CBS ISS;1
12J;VARIO 150 ESP EXCLSV;1
12H;VARIO 150 ESP SPORTY;1
H45;VARIO CW;1
H58;VARIO CW;1
H57;VARIO DB;1
H44;VARIO STD;1
N84;VARIO STD;1
Q82;VARIO TECHNO 110;1
J70;VARIO X;1
1KN;VARIO110 CBS;1
1KO;VARIO110 CBS ADV;1
1KP;VARIO110 CBS ISS;1
1KQ;VARIO110 CBS ISS ADV;1
0GH;VERZA 150 CW;1
1KH;VERZA 150 CW MMC;1
12K;VERZA 150 SP MMC;1
0GI;VERZA 150 SW;1
023;WIN;1
840;WIN;1
321;WIN MCB;1
B75;ZN 110D;1
0BL;ATHELETE SE;3
N86;ATHLETE;3
251;BABY NINJA;3
0L4;BAJAJ PULSAR 200NS;3
572;BLITZ;3
C31;BLITZ E;3
793;BLITZ JOY - R;3
810;BLITZ JOY R-VR;3
792;BLITZ JOY-VR;3
D74;BLITZ THREE TONE;3
G49;BLITZ VR;3
636;BLITZ-R;3
D18;BLITZ-R CW;3
U43;D TRACKER 150;3
Q81;D TRACKER X;3
1LC;D-TRACKER 150;3
1LD;D-TRACKER 150 SE;3
0FK;D-TRACKER 250;3
R81;EDGE R;3
R82;EDGE VR;3
471;ELIMINATOR;3
F76;ELIMINATOR;3
12V;ER 6N;3
12W;ER 6N ABS;3
12X;ER 6N ABS VIN 2015;3
01D;ER6N;3
0QI;ER6N ABS;3
0T9;ESTRELLA;3
0TA;ESTRELLA SE;3
018;KAZE;3
F55;KAZE R 125;3
F56;KAZE R 125 VR;3
707;KAZE VR CAKRAM;3
C63;KAZE ZX;3
C65;KAZE ZX 130;3
D09;KAZE ZX 130 VR;3
C64;KAZE ZXR;3
C66;KAZE ZX-VR;3
311;KAZE-E;3
315;KAZE-E LIMITED;3
312;KAZE-R;3
314;KAZE-R LIMITED;3
313;KAZE-RVR;3
P94;KLX 150;3
1HR;KLX 150 BF;3
1HS;KLX 150 BF SE;3
1L4;KLX 150 G;3
0SY;KLX 150 L;3
Q27;KLX 150 S;3
N87;KLX 250;3
E51;KRR ZX;3
[34;KSR 110;3
0YV;KSR PRO;3
02W;NEW NINJA 150 RR;3
02X;NEW NINJA 150 RR SE;3
09N;NEW NINJA 250 R;3
09O;NEW NINJA 250 R SE;3
0TK;NEW NINJA 250SE+ABS;3
1F3;NEW NINJA 300;3
0VE;NEW Z250 SL;3
0VF;NEW Z250 SL ABS;3
030;NINJA;3
H93;NINJA - KR 150 M;3
0T8;NINJA 1000;3
13I;NINJA 1000;3
337;NINJA 150;3
\72;NINJA 150 RR SE;3
C15;NINJA 150 VR;3
1T2;NINJA 250;3
0D7;NINJA 250 ABS FI;3
0D6;NINJA 250 FI;3
1RG;NINJA 250 LTD;3
N80;NINJA 250 R;3
R61;NINJA 250 R SE;3
14E;NINJA 250 SE BEET;3
02V;NINJA 650;3
12Y;NINJA 650;3
0QJ;NINJA 650 ABS;3
12Z;NINJA 650 ABS;3
136;NINJA 650 ABSVIN2015;3
14C;NINJA H2;3
C16;NINJA KR 150 K;3
R24;NINJA KR 150 N;3
524;NINJA R;3
H94;NINJA R - KR 150 L;3
1EK;NINJA R SE NEW 150;3
584;NINJA RR;3
0TC;NINJA RR 250 MONO;3
0UM;NINJA RR 250 MONOABS;3
523;NINJA S;3
Q20;NINJA SS;3
336;NINJA VR;3
1M2;NINJA ZX 10 R;3
13J;NINJA ZX 10R NEW;3
13K;NINJA ZX 14 R;3
